Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢),Scraped_Date
22/08/2025,ACCESS,16.4,5.2,16.37,16.37,16.37,16.37,0.9,0.0,16.37,237.0,3879.69,2025-08-23 18:33:27
22/08/2025,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0.0,5.06,0.0,12.0,60.72,2025-08-23 18:33:27
22/08/2025,AGA,37.0,37.0,37.0,37.0,37.0,37.0,0.55,37.0,0.0,0.55,0.55,2025-08-23 18:33:27
22/08/2025,**ALW**,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,2025-08-23 18:33:27
22/08/2025,ASG,8.89,8.89,8.89,8.89,8.89,8.89,0.1,8.89,0.0,0.1,0.1,2025-08-23 18:33:27
22/08/2025,ALLGH,6.12,6.12,6.12,6.12,6.12,6.12,0.05,0.0,6.12,379.0,2319.48,2025-08-23 18:33:27
22/08/2025,BOPP,34.35,25.26,34.35,34.35,34.35,34.35,0.09,34.4,0.0,0.09,0.09,2025-08-23 18:33:27
22/08/2025,CAL,0.8,0.35,0.5,0.5,0.5,0.5,13.12,0.5,0.51,27630.0,13815.0,2025-08-23 18:33:27
22/08/2025,CLYD,0.11,0.03,0.11,0.11,0.11,0.11,5.06,0.11,0.0,0.0,0.0,2025-08-23 18:33:27
22/08/2025,CMLT,0.14,0.14,0.14,0.14,0.14,0.14,37.0,0.15,0.0,37.0,37.0,2025-08-23 18:33:27
22/08/2025,CPC,0.02,0.02,0.02,0.02,0.02,0.02,0.1,0.02,0.0,0.1,0.1,2025-08-23 18:33:27
22/08/2025,DASPHARMA,0.38,0.38,0.38,0.38,0.38,0.38,8.89,0.38,0.0,8.89,8.89,2025-08-23 18:33:27
22/08/2025,EGH,8.91,6.25,8.91,8.91,8.91,8.91,6.12,8.98,0.0,0.0,0.0,2025-08-23 18:33:27
22/08/2025,EGL,2.9,1.98,2.9,2.9,2.9,2.9,34.2,2.9,2.95,41.0,118.9,2025-08-23 18:33:27
22/08/2025,ETI,0.9,0.31,0.79,0.79,0.78,0.78,0.01,0.74,0.78,88581.0,69478.29,2025-08-23 18:33:27
22/08/2025,FML,4.41,3.7,4.41,4.41,4.41,4.41,0.08,4.41,0.0,0.08,0.08,2025-08-23 18:33:27
22/08/2025,GCB,10.0,6.37,9.61,9.61,9.85,9.85,0.24,9.85,0.0,11571.0,113974.35,2025-08-23 18:33:27
22/08/2025,GGBL,6.05,5.5,6.05,6.05,6.05,6.05,0.02,5.46,6.05,667.0,4035.35,2025-08-23 18:33:27
22/08/2025,GOIL,2.26,1.52,2.23,2.23,2.26,2.26,0.03,2.26,0.0,3775.0,8530.4,2025-08-23 18:33:27
22/08/2025,MAC,5.38,5.38,5.38,5.38,5.38,5.38,7.61,0.0,5.38,7.61,7.61,2025-08-23 18:33:27
22/08/2025,MTNGH,3.98,2.5,3.88,3.88,3.89,3.89,0.01,3.85,3.88,834708.0,3244740.24,2025-08-23 18:33:27
22/08/2025,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0.9,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
